1,1000,3887
1,1000,3436
1,1000,3366
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3436
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3367
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3436
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3376
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3357
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3357
1,1000,3366
1,1000,3357
1,1000,3447
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3366
1,1000,3356
1,1000,3366
1,1000,3367
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3366
1,1000,3366
1,1000,3366
1,1000,3357
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3456
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3436
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3436
1,1000,3356
1,1000,3377
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3357
1,1000,3356
1,1000,3446
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3437
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3367
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3436
1,1000,3356
1,1000,3357
1,1000,9909
1,1000,3386
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3366
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3367
1,1000,3357
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,4218
1,1000,3376
1,1000,4218
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3367
1,1000,3437
1,1000,3357
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3366
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3446
1,1000,3356
1,1000,3356
1,1000,3376
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3377
1,1000,3356
1,1000,3357
1,1000,3357
1,1000,3457
1,1000,3357
1,1000,3366
1,1000,3366
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3366
1,1000,3367
1,1000,3356
1,1000,3367
1,1000,3366
1,1000,3366
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3436
1,1000,3356
1,1000,3366
1,1000,3366
1,1000,3357
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3367
1,1000,3376
1,1000,3356
1,1000,3357
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3437
1,1000,3357
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3707
1,1000,4128
1,1000,4058
1,1000,3807
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3436
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3357
1,1000,3366
1,1000,3366
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3357
1,1000,3436
1,1000,3366
1,1000,3357
1,1000,3366
1,1000,3367
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3356
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3357
1,1000,3356
1,1000,3356
1,1000,3467
1,1000,3356
1,1000,3366
1,1000,3367
1,1000,3367
1,1000,3366
1,1000,3357
1,1000,3356
1,1000,3366
1,1000,3356
1,1000,3366
1,1000,3436
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3356
1,1000,3357
1,1000,3356
1,1000,3367
1,1000,3366
1,1000,3367
1,1000,3437
1,1000,3366
